Epoch	Train Accuracy	Test Accuracy
0	0.07981666666666666	0.0817
1	0.4925333333333333	0.4867
2	0.5778333333333333	0.5755
3	0.6552666666666667	0.6513
4	0.66845	0.6636
5	0.6748	0.6738
6	0.6404666666666666	0.639
7	0.6912333333333334	0.6885
8	0.7718	0.7717
9	0.7752333333333333	0.7721
10	0.7781333333333333	0.7725
11	0.7799166666666667	0.7745
12	0.77555	0.7692
13	0.7878	0.7814
14	0.7951333333333334	0.7901
15	0.81315	0.8075
16	0.86465	0.8573
17	0.8637833333333333	0.8546
18	0.8705166666666667	0.8611
19	0.8714166666666666	0.8626
20	0.8751833333333333	0.8641
21	0.8768	0.865
22	0.8780666666666667	0.8636
23	0.8765833333333334	0.8647
24	0.8859333333333334	0.8735
25	0.88755	0.8732
26	0.8867333333333334	0.8739
27	0.8902833333333333	0.8776
28	0.9190333333333334	0.8995
29	0.9459833333333333	0.9294
30	0.9505166666666667	0.9344
31	0.9575333333333333	0.943
32	0.95455	0.9399
33	0.9609833333333333	0.9443
34	0.9629166666666666	0.9474
35	0.9649	0.9465
36	0.9646666666666667	0.9504
37	0.96625	0.9497
38	0.9665	0.9485
39	0.9681666666666666	0.9511
40	0.9679666666666666	0.9503
41	0.9682666666666667	0.9527
42	0.9682	0.9503
43	0.9701	0.9522
44	0.9704333333333334	0.9529
45	0.9711833333333333	0.9519
46	0.9717666666666667	0.9537
47	0.9719166666666667	0.9521
48	0.9725833333333334	0.9519
49	0.9730333333333333	0.951
50	0.9732333333333333	0.9537
51	0.9727166666666667	0.9522
52	0.97375	0.952
53	0.9724333333333334	0.9542
54	0.9744333333333334	0.9551
55	0.97525	0.954
56	0.9730833333333333	0.9531
57	0.9757166666666667	0.9543
58	0.9749166666666667	0.9522
59	0.9759	0.9541
60	0.97565	0.9539
61	0.9760333333333333	0.9538
62	0.9765666666666667	0.9548
63	0.97615	0.954
64	0.9763333333333334	0.9517
65	0.9764	0.9532
66	0.9770166666666666	0.9535
67	0.9773	0.9557
68	0.9765166666666667	0.9555
69	0.9766833333333333	0.9538
70	0.97765	0.9544
71	0.9770166666666666	0.9529
72	0.9780833333333333	0.9544
73	0.9781	0.9537
74	0.9778	0.9526
75	0.978	0.9551
76	0.9786833333333333	0.9536
77	0.9789333333333333	0.9529
78	0.9752	0.951
79	0.9787833333333333	0.9541
80	0.9787333333333333	0.9536
81	0.9787833333333333	0.9549
82	0.9788	0.954
83	0.97985	0.9541
84	0.97855	0.9536
85	0.9792833333333333	0.9542
86	0.9801	0.9546
87	0.9801	0.9551
88	0.9805333333333334	0.9548
89	0.9806666666666667	0.9538
90	0.9806666666666667	0.9554
91	0.9798333333333333	0.9539
92	0.9806833333333334	0.9518
93	0.9803666666666667	0.9519
94	0.9807666666666667	0.9532
95	0.9812166666666666	0.9538
96	0.9802	0.9534
97	0.9805333333333334	0.952
98	0.9814166666666667	0.9527
99	0.9816666666666667	0.9522
100	0.9814	0.9542
101	0.98055	0.953
102	0.9808833333333333	0.9526
103	0.9818	0.9526
104	0.9817666666666667	0.9544
105	0.9817833333333333	0.9539
106	0.9820833333333333	0.9549
107	0.98115	0.9527
108	0.9816666666666667	0.9542
109	0.9815833333333334	0.954
110	0.98275	0.9534
111	0.9819666666666667	0.9527
112	0.9821166666666666	0.9537
113	0.98285	0.9545
114	0.9829333333333333	0.9547
115	0.9819	0.952
116	0.9824833333333334	0.9539
117	0.98375	0.9522
118	0.9832666666666666	0.9536
119	0.98235	0.9516
120	0.9827333333333333	0.9539
121	0.98335	0.9549
122	0.9823833333333334	0.953
123	0.98255	0.9537
124	0.9836166666666667	0.9538
125	0.9832666666666666	0.9557
126	0.98275	0.9538
127	0.98345	0.9525
128	0.98395	0.9531
129	0.9825	0.9521
130	0.9831833333333333	0.9548
131	0.9834333333333334	0.9532
132	0.98365	0.9532
133	0.9831666666666666	0.9541
134	0.98395	0.9537
135	0.9842833333333333	0.9517
136	0.9841833333333333	0.9541
137	0.9837666666666667	0.952
138	0.98305	0.9534
139	0.9846333333333334	0.9523
140	0.9845166666666667	0.9536
141	0.9841166666666666	0.9522
142	0.9842	0.9524
143	0.9847666666666667	0.9525
144	0.98425	0.9521
145	0.9843833333333334	0.9528
146	0.9853833333333334	0.9534
147	0.9847666666666667	0.9542
148	0.98475	0.9521
149	0.9850833333333333	0.9531
150	0.9854333333333334	0.9525
151	0.9852833333333333	0.9536
152	0.9851666666666666	0.9531
153	0.9848333333333333	0.953
154	0.9844666666666667	0.9518
155	0.9853333333333333	0.9519
156	0.9851166666666666	0.9522
157	0.9847	0.9535
158	0.9843	0.9521
159	0.98505	0.9521
160	0.9853	0.9522
161	0.9853833333333334	0.9527
162	0.9856166666666667	0.9536
163	0.9853666666666666	0.9518
164	0.9843166666666666	0.9508
165	0.9851	0.9531
166	0.9851	0.9528
